Node_index   Parent_Node_index   Cost
1 0 0
2 1 0
3 1 0
4 1 0
5 2 0
6 2 0
7 3 0
8 3 0
9 4 0
10 4 0
11 4 0
12 4 0
13 5 0
14 5 0
15 5 0
16 6 0
17 6 0
18 6 0
19 7 0
20 7 0
21 7 0
22 8 0
23 8 0
24 8 0
25 9 0
26 9 0
27 9 0
28 10 0
29 10 0
30 10 0
31 11 0
32 11 0
33 11 0
34 12 0
35 12 0
36 12 0
37 13 0
38 13 0
39 14 0
40 14 0
41 15 0
42 15 0
43 15 0
44 15 0
45 16 0
46 16 0
47 17 0
48 17 0
49 17 0
50 17 0
51 18 0
52 18 0
53 19 0
54 19 0
55 20 0
56 20 0
57 21 0
58 21 0
59 21 0
60 21 0
61 22 0
62 22 0
63 22 0
64 22 0
65 23 0
66 23 0
67 24 0
68 24 0
69 25 0
70 25 0
71 26 0
72 26 0
73 26 0
74 26 0
75 27 0
76 27 0
77 28 0
78 28 0
79 29 0
80 29 0
81 30 0
82 30 0
83 30 0
84 30 0
85 31 0
86 31 0
87 31 0
88 31 0
89 32 0
90 32 0
91 33 0
92 33 0
93 34 0
94 34 0
95 35 0
96 35 0
97 35 0
98 35 0
99 36 0
100 36 0
101 100 0
